sequence,timestamp_sec,timestamp_nsec,uniqueID,pixels_u,pixels_v,x,y,z
10,1,36909568,1,998.6688232,27.77573204,3.736666203,-1.835301995,15.55638885
10,1,36909568,2,359.6052551,151.2797241,-9.9702034,-1.255440354,32.26343536
10,1,36909568,4,643.2914429,172.4333496,0.248976231,-1.034063101,62.59599304
10,1,36909568,6,482.7660217,193.718399,-8.103717804,0.367552698,43.78258896
10,1,36909568,513,741.6816406,109.8731766,2.179236174,-1.802770138,24.0782299
10,1,36909568,8,685.5534668,152.9727783,2.348461628,-1.950350642,47.12210846
10,1,36909568,11,419.9946289,135.5801697,-11.34403419,-2.614357948,43.81994247
10,1,36909568,12,227.2370758,244.3075104,-9.491974831,1.266531706,23.35016823
10,1,36909568,526,719.8652954,29.35139084,1.698978901,-3.739548206,24.35340691
10,1,36909568,527,97.05316162,155.563858,-12.74537659,-0.739989877,23.62858772
10,1,36909568,20,501.5601196,132.2263794,-18.29210281,-7.122023582,102.5892944
10,1,36909568,23,685.5786133,114.6368103,2.611557484,-4.210483074,49.6537056
10,1,36909568,536,551.2401733,324.9238892,-1.203180671,1.520920753,15.62918949
10,1,36909568,516,450.3030701,179.4787598,-15.71585274,-0.585779786,66.44850159
10,1,36909568,28,316.0138245,161.5585785,-13.37085533,-0.977809966,36.37165833
10,1,36909568,37,336.4154358,238.4809418,-7.131953716,1.156823158,23.70931625
10,1,36909568,42,276.841217,136.5694885,-13.43920231,-1.847421646,33.28928375
10,1,36909568,43,215.8178406,139.5287781,-13.17264652,-1.489618182,29.03344727
10,1,36909568,556,729.5696411,266.1306458,1.490307808,1.425264955,20.90829086
10,1,36909568,558,896.6629639,283.1692505,2.457466602,0.9239586,15.00862312
10,1,36909568,561,1065.046753,284.9239502,3.220129013,0.715127051,13.40393066
10,1,36909568,562,145.7449493,5.081593037,-7.975684643,-2.92771697,18.49569702
10,1,36909568,563,510.2049561,268.5177917,-2.55952549,1.441174746,20.60239029
10,1,36909568,564,808.6494141,114.8078003,4.582565784,-2.069806099,27.86973953
10,1,36909568,53,287.3129578,193.271347,-12.98194218,0.325074762,33.19652557
10,1,36909568,567,957.3095093,255.1284637,3.073961973,0.634636045,15.02736568
10,1,36909568,62,525.6377563,174.4027252,-16.58563995,-1.699852228,112.2896652
10,1,36909568,65,155.2599792,233.1799316,-12.85525227,1.194325328,25.77558517
10,1,36909568,70,608.9682007,174.5033569,-6.370454788,-2.4527421,162.6669159
10,1,36909568,73,251.3515472,298.4203796,-5.667275906,1.523770809,17.39821053
10,1,36909568,74,456.0310364,66.08562469,-6.800095558,-4.389215469,33.22196579
10,1,36909568,75,744.3962402,62.69855881,2.029427052,-2.702695847,22.87191963
10,1,36909568,76,654.6641235,41.13796234,0.339238942,-4.188220501,27.65074158
10,1,36909568,77,615.9393921,95.42649841,-1.328068376,-4.561493397,43.25503159
10,1,36909568,78,695.3092041,241.1539154,1.197014332,1.248448133,24.78115082
10,1,36909568,80,122.3260269,68.96847534,-8.663627625,-1.902902007,18.92309761
10,1,36909568,82,595.8027344,137.0407104,-5.031395912,-5.636398792,90.41259766
10,1,36909568,86,457.5550232,12.96804619,-5.901707172,-5.475604534,29.84440804
10,1,36909568,88,238.0150604,184.4248199,-13.39917088,-0.084591247,30.66568565
10,1,36909568,89,167.9935913,185.9844208,-12.96798134,-0.037130754,26.44443703
10,1,36909568,94,931.8364258,217.9942474,2.855042219,0.256317824,15.1149025
10,1,36909568,97,768.0786133,140.7158661,2.873034477,-1.127229214,24.67850113
10,1,36909568,98,485.5280762,43.72542953,-5.170200825,-4.684607983,30.64115715
10,1,36909568,100,852.6129761,293.6775513,2.080921173,1.104664803,15.29836559
10,1,36909568,102,559.5823975,139.7637634,-10.8432579,-6.244008541,105.0281067
10,1,36909568,103,395.8916016,57.70492172,-7.213283539,-3.773576975,28.01481628
10,1,36909568,108,356.7559814,69.6299057,-8.265657425,-3.392660856,27.74682808
10,1,36909568,110,767.6872559,300.7690125,1.493334413,1.479556084,17.16685867
10,1,36909568,111,433.2590942,222.3187866,-6.877178192,1.153003693,30.68723679
10,1,36909568,117,646.1557007,134.5644531,0.541702628,-4.195534229,67.13381195
10,1,36909568,140,415.2226257,278.7839661,-3.937003851,1.481122851,19.35886002
10,1,36909568,157,762.9211426,193.1895294,2.534007072,0.103116393,23.42977715
10,1,36909568,159,103.8945313,310.5689087,-7.328801155,1.605753422,16.76932526
10,1,36909568,164,735.9106445,372.3509521,0.609097242,1.484755635,13.49108601
10,1,36909568,166,439.9023743,105.3981323,-9.507007599,-3.808129549,40.87949371
10,1,36909568,175,621.7235718,233.0234985,-0.783051729,1.397860646,31.16542244
10,1,36909568,182,164.8548279,308.4434204,-6.494228363,1.583841681,16.77212143
10,1,36909568,518,18.90951157,31.8456707,-8.517366409,-2.149302721,16.79004478
10,1,36909568,213,70.04405212,106.7109146,-8.91652298,-1.283974528,18.13213921
10,1,36909568,7,384.2712097,201.9454803,-7.468298912,0.460613877,27.76962471
10,1,36909568,238,762.5210571,245.2304077,2.311649561,1.054563761,21.93573761
10,1,36909568,248,655.1735229,89.19779205,0.443801522,-3.619163513,33.83370209
10,1,36909568,266,462.7866211,149.8828278,-11.67361736,-2.438049555,54.24103928
10,1,36909568,267,618.4110718,55.29370117,-1.034036994,-5.553598404,37.64468384
10,1,36909568,269,281.2561035,101.330513,-13.42976093,-3.207848549,33.59919357
10,1,36909568,282,467.4710083,267.9148254,-3.312462568,1.463528037,20.55447006
10,1,36909568,292,625.006897,295.9060059,-0.432019949,1.463828444,17.59475517
10,1,36909568,293,380.8259277,17.15662766,-7.370128632,-4.763775826,27.19608879
10,1,36909568,302,13.45204163,268.5326538,-9.216373444,1.132683158,17.46307373
10,1,36909568,308,805.5977173,157.3747864,4.790302753,-0.880385339,29.10307693
10,1,36909568,330,560.1327515,274.5018005,-1.585143328,1.484576702,19.99743462
10,1,36909568,336,676.7262573,294.6357422,0.347873867,1.452326775,17.54406548
10,1,36909568,343,359.7156982,299.7907104,-4.147306442,1.555576324,17.50517654
10,1,36909568,348,331.5887451,39.96309662,-8.919411659,-4.179731369,27.51765823
10,1,36909568,380,233.09552,97.25543213,-13.37670231,-2.920874357,30.30885506
